log_fci_size,one_norm,total_pstrings,n_qubits,n_elec,max_vertex_deg,min_vertex_deg,avg_vertex_deg,vertex_deg_std_dev,avg_edge_order,edge_order_std_dev,max_edge_weight,min_edge_weight,avg_edge_weight,edge_weight_std_dev,cisd,mp2,ccsd,ccsdt
6.66440902,12.62579276,433,8,4,301,191,268,45.13313639,4.951501155,1.659169722,4.578015277,0.000134782,0.029158875,0.230854284,TRUE,FALSE,TRUE,TRUE
15.01318356,51.73523631,7349,16,8,4501,1757,3845.5,922.2246201,8.37229555,3.131216622,15.07722119,3.14E-08,0.007039765,0.180643129,FALSE,FALSE,FALSE,FALSE
27.96888576,191.6047469,29597,28,14,16891,3847,13462,3976.972053,12.7356151,5.509608485,70.27936952,1.01E-08,0.006473789,0.415951034,FALSE,FALSE,FALSE,FALSE
2.772588722,2.12139541,29,4,2,21,19,20,1,2.75862069,1.222072079,0.85453784,0.007777256,0.073151566,0.157629443,TRUE,FALSE,TRUE,TRUE
19.29770667,90.80486656,8025,20,10,4849,1551,4079.8,993.3519819,10.16772586,3.946657421,32.17817737,9.34E-08,0.011315248,0.368358785,TRUE,FALSE,TRUE,TRUE
22.51658249,276.2385806,7477,20,14,4665,1495,3722,931.2994148,9.955864652,4.03497872,113.8088349,2.26E-07,0.036945109,1.371474463,TRUE,FALSE,TRUE,TRUE
27.96888576,211.8187998,18573,28,14,10539,2353,8678,2469.247341,13.08264685,5.561316079,69.63986383,2.24E-07,0.011404663,0.520205079,FALSE,FALSE,FALSE,FALSE
2.772588722,2.494652417,29,4,2,21,19,20,1,2.75862069,1.222072079,1.010887033,5.03E-06,0.086022497,0.184324555,FALSE,FALSE,FALSE,FALSE
19.29770667,64.66992164,8669,20,10,5163,1737,4375.4,1062.711363,10.09435921,3.957713005,26.24016625,1.97E-08,0.007459906,0.289557571,TRUE,TRUE,TRUE,TRUE
10.78725509,24.28221086,861,12,6,575,227,383,129.7510437,5.337979094,1.882324435,9.234279811,1.75E-08,0.028202335,0.325695078,FALSE,TRUE,TRUE,TRUE
2.772588722,1.818565456,29,4,2,21,19,20,1,2.75862069,1.222072079,0.74246668,0.002491471,0.062709154,0.137138019,TRUE,FALSE,TRUE,TRUE
19.29770667,62.9140988,8893,20,10,5255,1731,4383.6,1123.448459,9.858540425,4.201733535,20.9220916,1.12E-08,0.007074564,0.226616764,FALSE,FALSE,FALSE,FALSE
18.11157922,131.2208314,11256,18,10,6876,2310,5730,1471.727481,9.163113006,3.524038232,44.68457526,1.02E-08,0.011657856,0.440813102,FALSE,FALSE,FALSE,FALSE
15.01318356,64.74988862,3113,16,8,1943,769,1646.75,362.6126549,8.463861227,3.377434251,22.84712509,2.23E-06,0.020799836,0.423302644,TRUE,FALSE,TRUE,TRUE
15.01318356,52.82551033,3481,16,8,2139,887,1845,408.3442175,8.480321747,3.179802951,20.0341789,1.20E-08,0.015175384,0.349307424,FALSE,TRUE,TRUE,TRUE
22.51658249,285.8655695,3809,20,14,2247,763,1873.4,451.0528129,9.836702547,4.145503657,116.2981527,7.00E-08,0.075050031,1.944147797,FALSE,FALSE,FALSE,FALSE
10.78725509,33.86486411,781,12,6,505,271,430.6666667,75.83241758,6.61715749,2.928628196,12.123399,0.000209961,0.043360902,0.448867899,FALSE,FALSE,FALSE,FALSE
22.51658249,270.0819918,5663,20,15,3313,857,2618.2,717.5888516,9.246689034,4.227805327,113.9518719,1.13E-08,0.047692388,1.56880667,FALSE,FALSE,FALSE,FALSE
23.48759812,339.9070295,5607,20,17,3363,845,2686.4,752.9062624,9.582307829,4.042704203,148.0126413,1.00E-08,0.060621906,2.047679837,FALSE,FALSE,FALSE,FALSE
2.772588722,3.255792679,17,4,2,11,11,11,0,2.588235294,1.416658186,1.305254215,0.047005987,0.191517216,0.297020687,TRUE,FALSE,TRUE,TRUE
