system,basis,CCSD
p,5z,-340.825217
p,5dz,-340.825392
s,2z,-397.599301
s,2dz,-397.602616
s,3z,-397.648487
s,3dz,-397.649421
s,4z,-397.661068
s,4dz,-397.661707
s,5z,-397.664921
s,5dz,-397.665276
cl,2z,-459.597635
cl,2dz,-459.602422
cl,3z,-459.666087
cl,3dz,-459.667573
cl,4z,-459.685941
cl,4dz,-459.68697
cl,5z,-459.692017
cl,5dz,-459.692591
li_h,2z,-8.014358
li_h,2dz,-8.014358
li_h,3z,-8.022303
li_h,3dz,-8.022303
li_h,4z,-8.023909
li_h,4dz,-8.023909
li_h,5z,-8.024351
li_h,5dz,-8.024351
be_h,2z,-15.187812
be_h,2dz,-15.187812
be_h,3z,-15.195146
be_h,3dz,-15.195146
be_h,4z,-15.197562
be_h,4dz,-15.197562
be_h,5z,-15.198059
be_h,5dz,-15.198059
c_h,2z,-38.377797
c_h,2dz,-38.377797
c_h,3z,-38.406962
c_h,3dz,-38.406962
c_h,4z,-38.414964
c_h,4dz,-38.414964
c_h,5z,-38.417322
c_h,5dz,-38.417322
c_h2_triplet,2z,-39.039449
c_h2_triplet,2dz,-39.039449
c_h2_triplet,3z,-39.074321
c_h2_triplet,3dz,-39.074321
c_h2_triplet,4z,-39.083334
c_h2_triplet,4dz,-39.083334
c_h2_triplet,5z,-39.085924
c_h2_triplet,5dz,-39.085924
c_h2_singlet,2z,-39.019098
c_h2_singlet,2dz,-39.019098
c_h2_singlet,3z,-39.056549
c_h2_singlet,3dz,-39.056549
c_h2_singlet,4z,-39.066562
c_h2_singlet,4dz,-39.066562
c_h2_singlet,5z,-39.069509
c_h2_singlet,5dz,-39.069509
c_h3,2z,-39.712984
c_h3,2dz,-39.712984
c_h3,3z,-39.75616
c_h3,3dz,-39.75616
c_h3,4z,-39.767072
c_h3,4dz,-39.767072
c_h3,5z,-39.770238
c_h3,5dz,-39.770238
c_h4,2z,-40.383134
c_h4,2dz,-40.383134
c_h4,3z,-40.431815
c_h4,3dz,-40.431815
c_h4,4z,-40.443975
c_h4,4dz,-40.443975
c_h4,5z,-40.447445
c_h4,5dz,-40.447445
n_h,2z,-55.089671
n_h,2dz,-55.089671
n_h,3z,-55.136672
n_h,3dz,-55.136672
n_h,4z,-55.149865
n_h,4dz,-55.149865
n_h,5z,-55.153996
n_h,5dz,-55.153996
n_h2,2z,-55.729886
n_h2,2dz,-55.729886
n_h2,3z,-55.787871
n_h2,3dz,-55.787871
n_h2,4z,-55.804186
n_h2,4dz,-55.804186
n_h2,5z,-55.809357
n_h2,5dz,-55.809357
n_h3,2z,-56.398083
n_h3,2dz,-56.398083
n_h3,3z,-56.465497
n_h3,3dz,-56.465497
n_h3,4z,-56.484345
n_h3,4dz,-56.484345
n_h3,5z,-56.490378
n_h3,5dz,-56.490378
o_h,2z,-75.557476
o_h,2dz,-75.557476
o_h,3z,-75.632525
o_h,3dz,-75.632525
o_h,4z,-75.655342
o_h,4dz,-75.655342
o_h,5z,-75.662896
o_h,5dz,-75.662896
h2_o,2z,-76.237998
h2_o,2dz,-76.237998
h2_o,3z,-76.324546
h2_o,3dz,-76.324546
h2_o,4z,-76.350801
h2_o,4dz,-76.350801
h2_o,5z,-76.359519
h2_o,5dz,-76.359519
h_f,2z,-100.226226
h_f,2dz,-100.226226
h_f,3z,-100.331991
h_f,3dz,-100.331991
