molecule_name,max_vertex_degree,min_vertex_degree,mean_vertex_degree,std_dev_vertex_degree,max_weight,min_weight,mean_weight,std_dev_weight,max_edge_order,min_edge_order,mean_edge_order,std_dev_edge_order,one_norm,number_of_terms,log_fci_dim,n_elec,n_orbs,df_gap,SHCI,CCSDT,error,solved
h2_o2_cc-pVDZ,177504,25414,129637.52631578948,38780.61179027808,5.4783663194992105,1.0002059617718928e-08,0.002282341,0.053015644,38,1,17.91674152849053,7.613434609476089,638.6375492070495,274952,16.424437233437114,18,38,7.246468269361797,-151.1954108,-151.193716,0.001694841,FALSE
s2_cc-pVDZ,40240,5618,31780.88888888889,9953.145303475618,48.75421369279028,1.0084228856230014e-08,0.006890161,0.2666362983081771,35,1,15.919187421733684,7.007665047973685,742.0072367265396,71871,19.680063639128843,32,36,10.134057033123014,-795.3317143,-795.330005,0.001709307,FALSE
c_s_cc-pVDZ,29772,4834,23750.4375,7129.524120416015,48.17323865442778,1.001164838519518e-08,0.007928101,0.2234504470217842,31,1,14.63028413028413,6.296749753756102,528.3511781086653,51949,16.221344234866493,22,32,9.761131696953726,-435.6061273,-435.604355,0.001772321,FALSE
Cu0_vdz,109114,12932,88328.62962962964,27456.449900872514,13.89380293744269,1.3540101362908776e-08,0.009738056,0.1576989492851902,53,1,22.472619165406343,11.114733743416243,2161.615765285452,212248,20.10469876904957,19,54,34.829374450705274,-197.2369,-197.235506,0.001393973,TRUE
n_h3_cc-pVDZ,77423,16003,63133.206896551725,18547.742781859502,4.816990918265522,1.0034718189155668e-08,0.003960869,0.062819802,29,1,13.512602127047154,5.434004205227975,570.5520051354086,135494,10.149303807990789,10,29,10.805277200905293,-56.40247688,-56.401866,0.000610876,TRUE
Cr1_vdz,109094,12930,88312.51851851853,27450.576711705213,11.25832502192168,1.0433859422712685e-08,0.007147816,0.1320398850528719,53,1,22.471061100823192,11.113758691106812,1636.1143094511613,212224,15.225775035081998,13,54,25.488225752616525,-86.37241,-86.37192674,0.000483263,TRUE
n_o_cc-pVDZ,17426,3362,14237.57142857143,4155.063257457025,6.083923341184257,1.0031260585562872e-08,0.011968136,0.1194251140908317,28,1,12.93316895925253,5.491772176820431,372.94414311761096,30825,12.56586205624186,15,28,7.832913062,-129.5999245,-129.598098,0.001826513,FALSE
p_h2_cc-pVDZ,37712,7212,28717.64285714286,8274.822537,41.61189394715419,1.0021741262160294e-08,0.005571496,0.1781475116415855,28,1,13.26800211207181,5.542869555174318,420.3122711020201,60605,13.331778850208492,17,28,10.989711483190966,-342.0090578,-342.008334,0.00072378,TRUE
h_c_n_cc-pVDZ,32651,5029,26535.60606060606,7938.936383761858,4.398416602450679,1.001112028667494e-08,0.008541419,0.095164395,33,1,14.601153852566988,6.363724039051116,531.6256104038628,59974,13.261272247412732,14,33,8.457844648,-93.18988418,-93.188281,0.001603178,FALSE
Sc1_vdz,109040,12910,88278.51851851853,27442.58257522067,9.947953554690836,1.0273816574821889e-08,0.006328924,0.1194675773452303,53,1,22.47172790911448,11.11418104639423,1468.8819117829955,212136,12.912108644534644,10,54,20.86920189743936,-46.15683,-46.15618407,0.000645928,TRUE
Sc0_vdz,884402,69896,677458.8157894737,212654.85815114088,12.44634603739682,1.009219496849829e-08,0.003782826,0.078768463,75,1,33.38499276365957,15.240200156879569,6069.85367,1542217,21.42916017924353,17,76,30.65507023,-46.39685,-46.39553809,0.001311908,TRUE
Fe0_vdz,109118,12924,88315.88888888889,27456.68181893385,12.349261327826737,1.3440083312007104e-08,0.008162364,0.1424714758961645,53,1,22.474460294346343,11.115443165714362,1845.3191265370715,212200,17.791032378502212,16,54,28.689355860768632,-123.51812,-123.5173388,0.000781221,TRUE
na_cc-pVDZ,1480,448,1204.7777777777778,308.9279951264364,21.889847306796035,5.176021065044225e-07,0.030915251,0.4275092805710176,17,1,7.894430287586458,3.778417855898823,126.86719386958464,2748,8.201551017570791,11,18,6.599826983902552,-161.8530266,-161.853027,3.565473036815092e-07,TRUE
